"Gene";"counts";"vlist"
"6";1;"CellSignal"
"7";1;"CellSignal"
"9 (vertebrates)";1;"CellSignal"
"AASS";1;"GoTerms"
"ACTB";2;"GoTerms,Reaktom"
"ACTBL2";1;"GoTerms"
"ACTG1";1;"GoTerms"
"ACTL6A";2;"GoTerms,Reaktom"
"ACTL6B";2;"GoTerms,Reaktom"
"ACTL9";1;"GoTerms"
"ACTR6";1;"GoTerms"
"AEBP2";2;"GoTerms,Reaktom"
"AIRE";1;"GoTerms"
"AKAP8";1;"GoTerms"
"AKAP8L";2;"GoTerms,Reaktom"
"ALL-1";1;"CellSignal"
"AMPK";1;"CellSignal"
"ANKRA2";1;"GoTerms"
"ANKRD1";1;"GoTerms"
"ANP32A";1;"GoTerms"
"ANP32B";1;"GoTerms"
"ANP32CP";1;"GoTerms"
"ANP32E";2;"GoTerms,OMIM"
"ANTKMT";1;"GoTerms"
"APBB1";1;"GoTerms"
"APLF";1;"GoTerms"
"ARID1A";1;"Reaktom"
"ARID1B";1;"Reaktom"
"ARID2";1;"Reaktom"
"ARID4A";2;"GoTerms,Reaktom"
"ARID4B";3;"GoTerms,OMIM,Reaktom"
"ARID5A";1;"OMIM"
"ARID5B";1;"Reaktom"
"ASF1A";1;"GoTerms"
"ASF1B";1;"GoTerms"
"Ash1 (D. melanogaster)";1;"CellSignal"
"ASH1L";2;"GoTerms,Reaktom"
"ASH2L";2;"GoTerms,Reaktom"
"ATAD2";1;"GoTerms"
"ATAD2B";1;"GoTerms"
"ATF2";4;"GoTerms,OMIM,Reaktom,CellSignal"
"ATF3";1;"OMIM"
"ATF7IP";1;"Reaktom"
"ATG7";1;"GoTerms"
"ATM";2;"GoTerms,CellSignal"
"ATPSCKMT";1;"GoTerms"
"ATR";2;"GoTerms,CellSignal"
"ATRX";1;"GoTerms"
"ATXN7";2;"GoTerms,Reaktom"
"ATXN7L3";2;"GoTerms,Reaktom"
"AUNIP";1;"OMIM"
"AURKA";1;"GoTerms"
"Aurora-B kinase";1;"CellSignal"
"BAP1";1;"GoTerms"
"BAP18";1;"GoTerms"
"BAZ1B";1;"GoTerms"
"BAZ2A";1;"GoTerms"
"BAZ2B";1;"OMIM"
"BCAS3";1;"GoTerms"
"BCL2L11";1;"OMIM"
"BCL3";1;"GoTerms"
"BCOR";1;"GoTerms"
"BEX4";1;"GoTerms"
"BHLHE40";1;"OMIM"
"BHLHE41";1;"GoTerms"
"biotinidase";1;"CellSignal"
"BLACAT1";1;"OMIM"
"BLTP3A";1;"GoTerms"
"BMP10";1;"OMIM"
"BOD1";2;"GoTerms,Reaktom"
"BOD1L1";2;"GoTerms,Reaktom"
"BPTF";1;"GoTerms"
"BRCA2";1;"GoTerms"
"BRD1";2;"GoTerms,Reaktom"
"BRD2";1;"GoTerms"
"BRD3";1;"GoTerms"
"BRD4";1;"GoTerms"
"BRD7";1;"GoTerms"
"BRD8";2;"GoTerms,Reaktom"
"BRD9";1;"GoTerms"
"BRDT";1;"GoTerms"
"BRMS1";2;"GoTerms,Reaktom"
"BRMS1L";1;"GoTerms"
"BRPF1";2;"GoTerms,Reaktom"
"BRPF3";2;"GoTerms,Reaktom"
"BTG2";1;"OMIM"
"Bub1";1;"CellSignal"
"BUB1";1;"GoTerms"
"BZW1";1;"OMIM"
"CAMTA2";1;"GoTerms"
"CARM1";3;"GoTerms,Reaktom,CellSignal"
"CASP10";1;"OMIM"
"CBP";1;"CellSignal"
"CBX1";1;"GoTerms"
"CBX2";1;"GoTerms"
"CBX3";1;"GoTerms"
"CBX4";1;"GoTerms"
"CBX5";1;"GoTerms"
"CBX6";1;"GoTerms"
"CBX8";1;"GoTerms"
"CCDC38";1;"GoTerms"
"CCND1";2;"GoTerms,Reaktom"
"CD1D";1;"GoTerms"
"CDC42BPA";1;"OMIM"
"CDC7";1;"OMIM"
"CDCA8";1;"OMIM"
"CDK1";1;"GoTerms"
"CDK2";1;"GoTerms"
"CDK2AP1";1;"GoTerms"
"CDK2AP2";1;"GoTerms"
"CDK4";1;"Reaktom"
"CDY1";1;"GoTerms"
"CDY2A";1;"GoTerms"
"CDYL";1;"GoTerms"
"CDYL2";1;"GoTerms"
"CEBPB";1;"GoTerms"
"CENPA";2;"GoTerms,OMIM"
"CENPS";1;"OMIM"
"CFDP1";1;"GoTerms"
"CFL1";1;"Reaktom"
"CHAF1B";1;"GoTerms"
"CHD1";1;"GoTerms"
"CHD1L";1;"GoTerms"
"CHD2";1;"GoTerms"
"CHD3";2;"GoTerms,Reaktom"
"CHD4";2;"GoTerms,Reaktom"
"CHD5";1;"GoTerms"
"CHD6";1;"GoTerms"
"CHD7";1;"GoTerms"
"CHD8";1;"GoTerms"
"CHEK1";1;"GoTerms"
"CHRAC1";1;"GoTerms"
"CIR1";2;"GoTerms,OMIM"
"CITED2";1;"GoTerms"
"CK2";1;"CellSignal"
"CKS1B";1;"GoTerms"
"CKS2";1;"GoTerms"
"CLOCK";2;"GoTerms,Reaktom"
"Clr4";1;"CellSignal"
"COPRS";2;"GoTerms,Reaktom"
"CPSF2";1;"GoTerms"
"CPSF3";1;"GoTerms"
"CREBBP";2;"GoTerms,Reaktom"
"CRP";1;"OMIM"
"CRTC2";1;"OMIM"
"CRY1";1;"GoTerms"
"CSNK2A1";1;"GoTerms"
"CSRNP3";1;"OMIM"
"CTCFL";1;"GoTerms"
"CTSL";1;"GoTerms"
"CXXC1";2;"GoTerms,Reaktom"
